"intensity","area","year","depth","length","sex","age"
4,"varangerfjord",1999,278,50,1,4
4,"varangerfjord",1999,278,29,1,2
4,"varangerfjord",1999,110,30,0,2
4,"varangerfjord",1999,110,39,1,3
4,"soroya",1999,85,60,1,5
4,"soroya",1999,200,57,0,5
4,"soroya",1999,200,65,1,6
4,"varangerfjord",1999,110,55,1,4
5,"soroya",1999,85,43,0,3
5,"mageroya",1999,150,55,0,4
5,"mageroya",1999,220,64,0,5
5,"mageroya",1999,220,61,0,5
5,"mageroya",1999,220,62,1,5
5,"tanafjord",1999,270,54,1,5
5,"soroya",1999,200,62,1,6
5,"soroya",1999,200,56,0,5
5,"soroya",1999,137,49,1,5
6,"soroya",1999,85,37,0,2
6,"soroya",1999,200,32,0,2
6,"soroya",1999,137,64,0,5
6,"mageroya",1999,150,62,0,5
6,"tanafjord",1999,270,58,0,5
6,"varangerfjord",1999,235,59,0,4
6,"varangerfjord",1999,235,40,0,3
6,"varangerfjord",1999,278,52,0,4
6,"soroya",1999,200,57,0,5
6,"soroya",1999,200,64,0,5
6,"soroya",1999,200,54,1,5
7,"soroya",1999,85,56,0,4
7,"soroya",1999,137,64,0,5
7,"mageroya",1999,150,52,1,4
7,"mageroya",1999,150,54,0,4
7,"mageroya",1999,220,59,0,4
7,"varangerfjord",1999,278,74,0,6
7,"varangerfjord",1999,278,46,0,3
7,"varangerfjord",1999,278,54,0,4
7,"soroya",1999,137,86,0,10
8,"soroya",1999,137,33,1,2
8,"varangerfjord",1999,235,45,1,4
8,"soroya",1999,200,48,1,4
8,"mageroya",1999,220,57,1,4
8,"tanafjord",1999,99,67,1,5
9,"soroya",1999,85,51,1,3
9,"tanafjord",1999,270,48,0,4
9,"varangerfjord",1999,278,68,0,5
9,"soroya",1999,200,60,0,5
10,"soroya",1999,200,71,0,6
10,"varangerfjord",1999,235,42,0,3
10,"varangerfjord",1999,278,29,1,2
10,"soroya",1999,200,62,0,5
10,"soroya",1999,200,56,1,5
10,"soroya",1999,137,61,1,5
10,"tanafjord",1999,99,59,0,6
11,"mageroya",1999,292,64,0,6
11,"tanafjord",1999,270,49,0,4
11,"soroya",1999,200,57,0,5
12,"soroya",1999,137,30,0,0
12,"mageroya",1999,292,54,1,4
12,"varangerfjord",1999,278,39,1,3
12,"varangerfjord",1999,278,62,0,5
12,"soroya",1999,85,54,1,5
12,"soroya",1999,200,53,0,4
13,"soroya",1999,137,47,1,3
13,"tanafjord",1999,270,38,1,2
13,"varangerfjord",1999,110,50,0,4
14,"soroya",1999,85,62,1,7
14,"tanafjord",1999,99,47,0,3
14,"soroya",1999,200,53,1,5
14,"varangerfjord",1999,110,52,1,4
15,"varangerfjord",1999,235,50,1,4
15,"varangerfjord",1999,278,37,1,2
15,"tanafjord",1999,270,55,1,4
16,"varangerfjord",1999,235,47,1,3
16,"varangerfjord",1999,278,39,1,3
16,"soroya",1999,200,59,0,5
16,"varangerfjord",1999,110,57,1,6
17,"soroya",1999,137,40,0,3
17,"mageroya",1999,292,62,0,5
17,"soroya",1999,200,59,1,5
17,"varangerfjord",1999,278,58,1,5
18,"mageroya",1999,150,60,1,5
18,"tanafjord",1999,270,40,0,3
18,"varangerfjord",1999,235,43,0,3
19,"tanafjord",1999,172,30,0,2
19,"soroya",1999,200,53,0,5
20,"soroya",1999,200,46,0,3
20,"varangerfjord",1999,278,40,1,2
21,"tanafjord",1999,256,54,1,5
21,"varangerfjord",1999,278,29,0,2
21,"varangerfjord",1999,278,58,1,4
22,"varangerfjord",1999,278,30,0,2
22,"soroya",1999,200,52,1,5
23,"varangerfjord",1999,235,53,0,5
23,"varangerfjord",1999,235,56,1,4
25,"varangerfjord",1999,110,49,1,4
26,"soroya",1999,137,56,1,5
27,"soroya",1999,137,68,0,4
28,"mageroya",1999,292,46,0,3
28,"varangerfjord",1999,235,56,0,4
28,"varangerfjord",1999,235,59,1,5
32,"tanafjord",1999,270,53,0,4
33,"varangerfjord",1999,278,37,0,2
35,"varangerfjord",1999,235,53,1,4
36,"mageroya",1999,292,45,0,3
41,"soroya",1999,137,38,0,3
41,"soroya",1999,200,61,0,6
50,"soroya",1999,137,51,1,5
52,"soroya",1999,200,53,1,5
65,"varangerfjord",1999,278,30,0,2
84,"mageroya",1999,150,58,1,5
86,"varangerfjord",1999,278,28,1,2
126,"varangerfjord",1999,235,52,0,4
1,"soroya",2000,121,49,0,3
1,"soroya",2000,121,62,0,5
1,"soroya",2000,121,51,0,3
1,"soroya",2000,121,52,0,4
1,"soroya",2000,121,78,0,6
1,"soroya",2000,121,51,0,6
1,"mageroya",2000,293,62,0,5
1,"mageroya",2000,293,51,1,3
1,"mageroya",2000,237,59,1,6
1,"mageroya",2000,237,36,0,5
1,"tanafjord",2000,285,58,1,6
1,"tanafjord",2000,285,59,0,6
1,"tanafjord",2000,285,62,0,6
1,"tanafjord",2000,285,53,1,4
1,"tanafjord",2000,285,60,0,5
1,"tanafjord",2000,285,53,0,4
1,"tanafjord",2000,285,49,1,3
1,"varangerfjord",2000,270,36,0,2
1,"varangerfjord",2000,260,56,0,5
1,"soroya",2000,121,61,0,6
1,"soroya",2000,121,76,1,8
1,"mageroya",2000,102,63,1,8
1,"mageroya",2000,293,82,1,9
1,"mageroya",2000,237,71,1,8
1,"tanafjord",2000,285,60,1,5
1,"tanafjord",2000,285,64,1,6
1,"tanafjord",2000,285,64,0,6
2,"soroya",2000,121,56,1,4
2,"soroya",2000,121,89,1,8
2,"mageroya",2000,102,45,1,3
2,"mageroya",2000,102,69,1,7
2,"mageroya",2000,102,40,0,4
2,"tanafjord",2000,285,64,1,6
2,"tanafjord",2000,285,54,0,5
2,"tanafjord",2000,285,52,1,4
2,"varangerfjord",2000,270,69,1,5
2,"varangerfjord",2000,270,40,1,3
2,"tanafjord",2000,146,42,0,3
2,"soroya",2000,121,61,0,6
2,"soroya",2000,121,67,1,6
2,"soroya",2000,121,65,0,5
2,"tanafjord",2000,146,60,0,6
2,"tanafjord",2000,146,59,0,7
3,"soroya",2000,121,69,0,5
3,"mageroya",2000,102,53,1,4
3,"tanafjord",2000,285,62,1,5
3,"tanafjord",2000,285,72,1,5
3,"varangerfjord",2000,270,69,1,5
3,"varangerfjord",2000,260,51,0,5
3,"tanafjord",2000,146,73,0,7
3,"soroya",2000,121,74,0,6
3,"soroya",2000,121,92,0,7
3,"varangerfjord",2000,270,60,1,7
3,"soroya",2000,121,61,1,5
3,"soroya",2000,121,62,0,6
3,"varangerfjord",2000,270,69,0,6
3,"tanafjord",2000,146,66,1,7
3,"tanafjord",2000,146,64,0,4
4,"soroya",2000,121,63,0,5
4,"mageroya",2000,102,48,1,4
4,"mageroya",2000,237,56,1,5
4,"mageroya",2000,237,47,1,4
4,"mageroya",2000,237,55,0,4
4,"varangerfjord",2000,270,58,1,4
4,"tanafjord",2000,146,72,1,5
4,"soroya",2000,121,59,0,6
4,"soroya",2000,121,62,0,5
4,"soroya",2000,121,52,1,6
4,"soroya",2000,121,55,0,6
4,"soroya",2000,121,59,0,6
4,"varangerfjord",2000,260,68,0,5
5,"soroya",2000,121,41,0,2
5,"tanafjord",2000,285,71,0,7
5,"varangerfjord",2000,270,38,1,3
5,"tanafjord",2000,146,78,1,8
5,"tanafjord",2000,146,45,0,4
5,"soroya",2000,121,60,1,5
5,"soroya",2000,121,79,0,7
5,"varangerfjord",2000,260,71,0,5
5,"tanafjord",2000,146,60,0,7
6,"mageroya",2000,102,45,1,3
6,"tanafjord",2000,285,51,1,4
6,"varangerfjord",2000,260,38,1,2
7,"varangerfjord",2000,260,46,0,3
7,"soroya",2000,121,66,1,6
7,"tanafjord",2000,146,70,0,5
8,"soroya",2000,121,49,1,4
8,"soroya",2000,121,49,0,4
8,"tanafjord",2000,285,60,0,5
8,"varangerfjord",2000,260,58,1,4
8,"tanafjord",2000,146,46,0,3
8,"tanafjord",2000,146,43,1,3
8,"varangerfjord",2000,260,55,1,4
8,"soroya",2000,121,65,0,6
9,"soroya",2000,121,70,0,6
9,"mageroya",2000,237,66,0,8
9,"varangerfjord",2000,270,43,1,4
10,"soroya",2000,121,43,0,3
10,"varangerfjord",2000,270,33,0,2
11,"varangerfjord",2000,260,53,0,4
11,"varangerfjord",2000,260,35,1,3
12,"tanafjord",2000,285,38,1,3
12,"tanafjord",2000,285,44,1,3
12,"varangerfjord",2000,270,28,1,2
12,"varangerfjord",2000,260,35,0,3
13,"tanafjord",2000,146,29,1,3
14,"varangerfjord",2000,260,60,0,5
14,"soroya",2000,121,63,0,6
14,"soroya",2000,121,68,1,6
15,"soroya",2000,121,58,0,6
17,"varangerfjord",2000,260,67,1,6
19,"soroya",2000,121,58,1,5
20,"soroya",2000,121,58,0,4
20,"varangerfjord",2000,260,61,1,7
22,"varangerfjord",2000,270,54,1,4
26,"tanafjord",2000,285,53,1,6
26,"varangerfjord",2000,270,49,0,3
27,"varangerfjord",2000,270,53,1,5
28,"varangerfjord",2000,260,63,0,5
30,"varangerfjord",2000,260,67,0,5
30,"varangerfjord",2000,260,38,1,4
30,"tanafjord",2000,146,47,0,4
31,"tanafjord",2000,146,43,1,3
31,"varangerfjord",2000,260,80,0,6
35,"varangerfjord",2000,270,51,1,4
39,"tanafjord",2000,285,57,1,6
40,"varangerfjord",2000,270,53,0,5
43,"varangerfjord",2000,270,34,1,2
43,"tanafjord",2000,146,93,0,9
44,"varangerfjord",2000,270,55,0,5
45,"tanafjord",2000,285,60,0,6
45,"varangerfjord",2000,260,51,0,4
49,"varangerfjord",2000,270,48,1,4
52,"varangerfjord",2000,270,49,1,5
56,"tanafjord",2000,146,29,1,2
56,"soroya",2000,121,54,1,5
58,"varangerfjord",2000,270,41,0,3
67,"mageroya",2000,102,54,1,6
67,"varangerfjord",2000,260,60,1,5
71,"tanafjord",2000,146,30,1,2
81,"varangerfjord",2000,260,35,1,2
186,"tanafjord",2000,146,22,0,1
210,"varangerfjord",2000,260,37,0,2
223,"varangerfjord",2000,270,36,1,3
1,"soroya",2001,90,72,0,5
1,"mageroya",2001,199,67,1,6
1,"mageroya",2001,199,48,1,3
1,"mageroya",2001,199,62,0,6
1,"mageroya",2001,199,77,0,6
1,"mageroya",2001,199,56,1,5
1,"mageroya",2001,199,71,1,5
1,"tanafjord",2001,98,57,0,3
1,"varangerfjord",2001,220,68,0,5
1,"varangerfjord",2001,125,68,0,5
1,"varangerfjord",2001,125,72,1,6
1,"varangerfjord",2001,140,46,0,3
1,"varangerfjord",2001,140,44,0,3
1,"varangerfjord",2001,140,43,1,3
1,"varangerfjord",2001,140,45,1,3
1,"varangerfjord",2001,140,51,0,3
1,"varangerfjord",2001,228,58,0,5
1,"varangerfjord",2001,228,49,1,3
1,"varangerfjord",2001,228,40,0,3
1,"varangerfjord",2001,228,52,0,4
1,"tanafjord",2001,180,59,0,5
1,"tanafjord",2001,193,56,1,5
1,"tanafjord",2001,193,32,1,2
1,"tanafjord",2001,193,35,1,2
1,"tanafjord",2001,193,33,0,2
1,"tanafjord",2001,122,54,0,5
1,"tanafjord",2001,122,59,1,5
1,"tanafjord",2001,122,55,0,4
1,"tanafjord",2001,122,68,1,5
1,"tanafjord",2001,122,65,1,6
1,"tanafjord",2001,122,56,0,5
1,"tanafjord",2001,256,61,1,5
1,"mageroya",2001,276,53,1,4
1,"mageroya",2001,276,68,0,6
1,"tanafjord",2001,256,57,1,6
1,"tanafjord",2001,98,58,1,5
1,"varangerfjord",2001,125,84,1,7
1,"varangerfjord",2001,125,84,1,7
1,"varangerfjord",2001,140,85,1,8
1,"varangerfjord",2001,140,79,0,6
1,"varangerfjord",2001,140,72,1,6
1,"tanafjord",2001,256,59,0,5
1,"mageroya",2001,276,82,0,7
2,"soroya",2001,112,29,1,2
2,"soroya",2001,112,27,1,1
2,"mageroya",2001,199,72,0,6
2,"mageroya",2001,199,52,0,4
2,"varangerfjord",2001,220,53,0,3
2,"varangerfjord",2001,125,61,0,4
2,"varangerfjord",2001,228,42,0,3
2,"varangerfjord",2001,228,49,0,3
2,"tanafjord",2001,193,54,0,4
2,"tanafjord",2001,122,63,0,5
2,"tanafjord",2001,122,56,1,5
2,"tanafjord",2001,256,56,0,4
2,"tanafjord",2001,256,56,0,6
2,"mageroya",2001,260,49,0,3
2,"mageroya",2001,110,41,0,2
2,"mageroya",2001,110,57,1,4
2,"varangerfjord",2001,140,59,1,5
2,"varangerfjord",2001,125,76,1,6
2,"tanafjord",2001,122,60,1,7
2,"tanafjord",2001,256,65,0,6
2,"mageroya",2001,276,94,1,9
3,"soroya",2001,112,34,1,2
3,"varangerfjord",2001,140,44,0,3
3,"varangerfjord",2001,140,34,1,2
3,"varangerfjord",2001,140,34,0,2
3,"varangerfjord",2001,228,45,1,4
3,"varangerfjord",2001,228,58,0,5
3,"varangerfjord",2001,228,41,1,3
3,"tanafjord",2001,180,44,0,3
3,"tanafjord",2001,193,52,1,4
3,"mageroya",2001,283,19,1,1
3,"mageroya",2001,110,65,1,4
3,"soroya",2001,112,80,0,7
3,"varangerfjord",2001,140,63,0,5
3,"varangerfjord",2001,140,61,1,5
3,"varangerfjord",2001,228,81,1,7
3,"tanafjord",2001,256,74,0,5
4,"varangerfjord",2001,220,52,0,4
4,"varangerfjord",2001,220,50,1,5
4,"varangerfjord",2001,220,58,0,4
4,"varangerfjord",2001,140,38,0,2
4,"varangerfjord",2001,140,44,0,4
4,"varangerfjord",2001,228,39,1,3
4,"tanafjord",2001,180,50,1,5
4,"tanafjord",2001,122,49,0,4
4,"mageroya",2001,260,55,1,4
4,"varangerfjord",2001,228,56,1,5
4,"mageroya",2001,110,78,1,6
4,"varangerfjord",2001,140,92,0,9
4,"tanafjord",2001,180,64,1,7
4,"tanafjord",2001,122,63,0,7
5,"varangerfjord",2001,220,60,0,5
5,"varangerfjord",2001,140,39,0,3
5,"varangerfjord",2001,228,74,0,5
5,"varangerfjord",2001,228,59,1,6
5,"tanafjord",2001,122,44,1,3
5,"tanafjord",2001,256,64,1,6
5,"mageroya",2001,283,65,0,5
5,"varangerfjord",2001,140,60,1,7
5,"mageroya",2001,283,71,1,6
5,"varangerfjord",2001,140,63,0,8
6,"varangerfjord",2001,125,63,0,4
6,"varangerfjord",2001,228,41,1,3
6,"tanafjord",2001,122,53,0,4
6,"mageroya",2001,276,51,0,3
6,"mageroya",2001,276,36,1,3
6,"mageroya",2001,260,53,1,4
6,"soroya",2001,112,78,1,6
6,"mageroya",2001,199,78,1,7
7,"varangerfjord",2001,140,47,0,4
7,"varangerfjord",2001,228,37,0,3
7,"mageroya",2001,276,65,0,6
8,"mageroya",2001,199,67,0,6
8,"varangerfjord",2001,228,38,0,4
8,"tanafjord",2001,122,70,0,6
8,"tanafjord",2001,256,54,0,4
8,"tanafjord",2001,256,42,1,3
8,"mageroya",2001,110,45,0,3
8,"varangerfjord",2001,140,67,0,7
8,"varangerfjord",2001,140,67,1,6
9,"varangerfjord",2001,228,62,1,5
9,"tanafjord",2001,193,37,0,3
9,"mageroya",2001,283,67,1,7
10,"varangerfjord",2001,140,39,1,2
10,"varangerfjord",2001,228,43,1,3
10,"varangerfjord",2001,228,59,1,4
10,"varangerfjord",2001,228,46,1,3
10,"tanafjord",2001,193,39,1,3
11,"tanafjord",2001,256,49,1,4
13,"varangerfjord",2001,125,64,1,6
13,"varangerfjord",2001,140,43,0,3
13,"varangerfjord",2001,228,37,1,3
14,"soroya",2001,112,39,0,2
14,"tanafjord",2001,256,36,1,3
14,"varangerfjord",2001,140,65,0,7
16,"mageroya",2001,260,71,0,7
17,"varangerfjord",2001,140,55,1,4
17,"tanafjord",2001,122,26,1,2
18,"varangerfjord",2001,228,42,1,3
18,"mageroya",2001,260,43,0,3
18,"tanafjord",2001,256,64,0,7
19,"mageroya",2001,260,67,0,5
20,"varangerfjord",2001,228,31,0,2
20,"varangerfjord",2001,140,84,0,9
30,"varangerfjord",2001,228,48,1,3
34,"varangerfjord",2001,140,52,1,6
36,"varangerfjord",2001,140,60,1,6
40,"tanafjord",2001,256,61,1,5
42,"varangerfjord",2001,228,34,0,4
45,"tanafjord",2001,256,53,1,5
46,"varangerfjord",2001,220,43,0,3
46,"tanafjord",2001,122,32,1,2
49,"varangerfjord",2001,140,55,0,5
50,"varangerfjord",2001,228,38,1,3
55,"varangerfjord",2001,228,45,0,4
75,"varangerfjord",2001,140,46,1,3
84,"mageroya",2001,260,48,1,4
89,"mageroya",2001,260,56,0,6
90,"varangerfjord",2001,228,31,0,2
104,"varangerfjord",2001,140,43,1,3
125,"varangerfjord",2001,140,44,1,3
128,"varangerfjord",2001,140,55,1,7
257,"varangerfjord",2001,228,35,1,3
