"AUD","HUF","JPY","NOK","SEK","GBP"
1.5765,258.55,98.53,8.224,8.23,0.6051
1.5636,258.71,98.01,8.1715,8.2375,0.596
1.5936,259.35,100.07,8.199,8.27,0.6045
1.576,258.8,98.89,8.175,8.251,0.6045
1.5723,258.75,97.98,8.154,8.18,0.5987
1.578,258.89,97.6,8.1565,8.187,0.6039
1.557,259.44,95.69,8.1505,8.1585,0.5988
1.5766,259.64,96.57,8.2155,8.302,0.605
1.58,260,97.3,8.2665,8.3195,0.6151
1.5908,259.65,97.58,8.2745,8.332,0.6165
1.581,259.93,96.81,8.249,8.3075,0.61
1.6002,259.87,98.22,8.286,8.354,0.6209
1.614,259.98,99.32,8.3075,8.404,0.6223
1.621,259.58,99.8,8.3425,8.412,0.6226
1.625,259.23,99.9,8.305,8.3845,0.6225
1.6306,259.29,101.41,8.321,8.356,0.624
1.6295,259.4,101.62,8.312,8.3615,0.6251
1.6164,259.2,101.51,8.287,8.328,0.623
1.6287,259.45,101.24,8.279,8.339,0.6264
1.622,259.5,101,8.2715,8.3325,0.6276
1.6315,259.55,102.12,8.3095,8.357,0.6359
1.6196,259.54,101.42,8.3245,8.3515,0.631
1.6162,259.5,101.55,8.305,8.317,0.6303
1.6075,259.85,102.05,8.284,8.2895,0.633
1.5996,259.74,102.52,8.2485,8.2185,0.6402
1.5855,259.69,100.92,8.224,8.236,0.6316
1.5724,259.74,101.65,8.2485,8.28,0.6329
1.6022,259.83,101.86,8.267,8.3065,0.6373
1.5786,259.89,100.62,8.2265,8.249,0.6326
1.5783,259.85,99.76,8.223,8.254,0.6307
1.5685,259.99,99.1,8.2135,8.2705,0.6244
1.5788,259.9,98.12,8.2025,8.2765,0.625
1.5687,259.85,98.38,8.179,8.284,0.6215
1.565,259.91,99.16,8.2125,8.3715,0.6281
1.5666,260.11,99.56,8.175,8.386,0.6253
1.5729,260.08,99.56,8.1785,8.404,0.6257
1.5894,260.15,100.57,8.185,8.421,0.6323
1.584,260.22,100.58,8.169,8.3885,0.6281
1.5871,259.85,100.78,8.18,8.3835,0.6271
1.6054,260.07,101.73,8.187,8.408,0.6313
1.6165,260.17,102.44,8.18,8.44,0.631
1.613,260.13,101.86,8.173,8.431,0.6278
1.604,260.16,101.82,8.1655,8.446,0.628
1.6168,260.23,101.77,8.1755,8.421,0.63
1.608,260.14,102.29,8.1515,8.392,0.627
1.5832,260.19,100.12,8.1475,8.3485,0.6224
1.599,260.13,100.82,8.1515,8.3485,0.6227
1.6003,260.09,101.65,8.166,8.3585,0.627
1.6025,260.12,100.93,8.1895,8.387,0.6241
1.592,260.16,99.6,8.1735,8.399,0.6156
1.5951,260.23,99.74,8.189,8.409,0.6165
1.5945,260.3,101.53,8.1835,8.388,0.6185
1.5905,260.31,101.64,8.1915,8.422,0.6151
1.6072,260.3,102.78,8.168,8.388,0.6201
1.5909,260.31,102.43,8.1825,8.394,0.6189
1.5898,260.47,102.26,8.195,8.4415,0.6198
1.5752,260.45,101.29,8.1835,8.4585,0.615
1.5986,260.51,101.04,8.199,8.495,0.6179
1.5965,260.45,101.56,8.1985,8.474,0.6172
1.5701,260.51,99.8,8.18,8.4575,0.6143
1.549,260.55,97.85,8.1585,8.439,0.607
1.5517,260.6,98.02,8.1215,8.411,0.6008
1.5502,260.63,98.85,8.0945,8.3725,0.6032
1.5417,260.64,98.2,8.1165,8.3535,0.5996
1.5503,260.68,96.81,8.067,8.3125,0.5978
1.5585,260.77,97.93,8.087,8.3295,0.6018
1.5702,260.77,99.31,8.1195,8.363,0.6061
1.5575,260.85,98.58,8.07,8.3065,0.5984
1.5607,260.85,99.78,8.114,8.3455,0.6059
1.5447,260.95,98.45,8.099,8.3915,0.6052
1.5451,260.91,99.12,8.09,8.428,0.6096
1.5412,260.94,99.42,8.061,8.3955,0.6099
1.5315,260.95,97.63,8.0435,8.412,0.6051
1.5328,260.98,97.27,8.0435,8.383,0.6038
1.5659,261.05,95.7,8.0525,8.356,0.6027
1.5742,261.1,96.64,8.1015,8.364,0.6087
1.5731,261.13,96.61,8.0955,8.38,0.6122
1.5733,261.19,95.88,8.0745,8.428,0.612
1.568,261.18,95.44,8.0715,8.4545,0.6139
1.5606,261.23,94.8,8.0715,8.4355,0.6148
1.5547,261.36,94.77,8.0745,8.416,0.6132
1.5534,261.34,94.77,8.0725,8.3795,0.6135
1.5632,261.5,95.12,8.0815,8.395,0.6154
1.5539,261.67,94.18,8.074,8.3775,0.6124
1.5605,261.87,93.27,8.0515,8.411,0.6087
1.565,261.87,91.21,8.0155,8.35,0.6047
1.5612,261.92,92.25,8.0385,8.3655,0.6124
1.542,261.88,91.35,8.024,8.378,0.6078
1.5428,261.79,91.55,7.98,8.388,0.6145
1.5613,261.55,92.83,8.0435,8.417,0.6142
1.5735,261.85,93.15,8.0405,8.4145,0.6133
1.566,261.83,92.64,8.018,8.3915,0.6125
1.5692,262.19,91.1,7.991,8.393,0.6096
1.5736,262.4,91.31,8.0055,8.378,0.6084
1.5645,262.34,90.3,7.9665,8.3725,0.5989
1.58,262.8,90.72,7.992,8.384,0.6004
1.595,263.06,95.75,8.0345,8.428,0.6063
1.6088,263.01,94.37,8.027,8.453,0.6028
1.5992,263.27,93.95,8.0215,8.4693,0.6028
1.615,263.47,95.49,8.044,8.509,0.6045
1.6073,263.93,94.98,8.0125,8.5245,0.6025
1.618,263.75,94.94,8.0255,8.5265,0.5967
1.6199,263.84,95.49,8.043,8.527,0.5991
1.6175,263.27,95.14,8.0345,8.535,0.6006
1.6263,263.18,95.31,8.035,8.5723,0.6003
1.6305,262.87,95.95,8.048,8.565,0.6027
1.6308,262.55,94.82,8.0355,8.5283,0.6014
1.6275,262.55,94.75,8.045,8.5545,0.6006
1.6385,262.49,94.2,8.0575,8.5925,0.5992
1.624,262.84,94.17,8.073,8.6185,0.5968
1.6292,262.84,93,8.054,8.573,0.5921
1.6242,262.95,93,8.047,8.5303,0.5868
1.6194,263.25,92.09,8.009,8.525,0.5884
1.6357,262.73,91.73,8.0375,8.5045,0.5908
1.6345,263.02,92.27,8.0465,8.535,0.5873
1.6236,262.62,90.93,8.007,8.505,0.5826
1.5958,262.63,92.06,8.004,8.535,0.5832
1.5788,262.64,91,7.9415,8.4904,0.576
1.5862,262.61,90.76,7.9465,8.4507,0.577
1.5978,262.65,89.8,7.946,8.4602,0.5771
1.5963,262.85,89.3,7.927,8.4888,0.5807
1.601,263.15,90.53,7.9265,8.4735,0.5804
1.6115,263.36,92.21,7.933,8.4898,0.5812
1.6377,263.24,91.88,7.8735,8.4843,0.5809
1.6341,262.9,92.83,7.8765,8.474,0.5912
1.638,263.28,93.63,7.9395,8.521,0.5956
1.652,263.99,93.63,7.977,8.5408,0.6013
1.6425,263.99,92.86,7.977,8.5668,0.5995
1.63,263.88,92.13,7.9785,8.595,0.601
1.6195,263.93,92.22,7.9635,8.5845,0.6006
1.6256,264.01,91.55,7.939,8.57,0.6017
1.6492,264.05,93.42,8,8.5978,0.6059
1.6576,264.14,92.82,7.989,8.6168,0.6016
1.6497,263.95,92.6,8.0225,8.6548,0.5995
1.6516,263.51,93.22,8.0365,8.6443,0.6031
1.6478,263.61,93.29,8.0135,8.65,0.6018
1.6402,264.07,92.95,8.0035,8.67,0.5999
1.6535,264.06,92.7,7.9865,8.6485,0.5955
1.6587,264.39,93.28,8.0345,8.698,0.5968
1.6236,264.2,92.46,8.0085,8.67,0.5959
1.6221,264.42,92.9,8.009,8.6545,0.6
1.6128,264.46,93.78,8.022,8.6883,0.5994
1.616,264.52,93.44,8.015,8.6914,0.5966
1.6226,264.8,94.54,8.019,8.7012,0.6019
1.6488,264.97,95.01,8.028,8.683,0.6069
1.6551,264.87,96.44,8.0525,8.715,0.6128
1.6302,265,97.75,8.0815,8.6825,0.6095
1.634,265.17,98.6,8.1075,8.63,0.6137
1.6288,265.18,97.52,8.1035,8.5805,0.6101
1.6182,265.05,97.76,8.0655,8.566,0.6152
1.6282,265.22,98.9,8.115,8.6275,0.6192
1.6285,265.25,98.75,8.112,8.621,0.6128
1.6249,265.31,97.53,8.0905,8.5513,0.6049
1.62,265.23,97.89,8.072,8.5003,0.6064
1.6192,264.9,98.4,8.1085,8.5538,0.604
1.6306,264.72,99.55,8.1115,8.575,0.603
1.6459,264.58,100.93,8.14,8.582,0.6088
1.6509,264.57,100.54,8.08,8.641,0.6074
1.647,264.49,99.96,8.1085,8.698,0.6072
1.651,264.36,102.05,8.1365,8.7025,0.6173
1.658,264.45,102.37,8.177,8.7275,0.618
1.6609,264.81,103.78,8.1915,8.8089,0.6242
1.6741,265.59,106.08,8.2485,8.86,0.6254
1.675,265.1,106.4,8.2525,8.8428,0.6238
1.677,265,106.92,8.2335,8.8313,0.6241
1.6845,264.58,108.26,8.3065,8.888,0.6315
1.6915,264.55,108.88,8.3145,8.9467,0.6325
1.6755,264.77,108.25,8.271,8.9153,0.6326
1.6734,264.87,111.22,8.291,8.932,0.6349
1.6745,264.96,110.55,8.298,8.9286,0.6328
1.6767,265.01,108.78,8.2495,8.95,0.6314
1.6847,265.07,109.33,8.205,8.9233,0.6308
1.705,265.04,111.75,8.2,8.8875,0.635
1.7003,265.11,112.35,8.185,8.857,0.6408
1.7048,265.12,111.92,8.211,8.8695,0.6388
1.6928,264.97,111.27,8.208,8.9295,0.6407
1.6875,265.1,110.6,8.223,8.932,0.6366
1.693,265.05,111.28,8.227,8.927,0.6385
1.6817,265.08,110.66,8.227,8.887,0.638
1.6816,264.97,108.28,8.211,8.9325,0.639
1.6945,264.99,110.22,8.2755,8.959,0.6388
1.6889,265.05,109.79,8.256,8.91,0.6341
1.6817,265.07,107.15,8.226,8.9,0.6304
1.7043,265.12,107.69,8.21,8.9068,0.6315
1.6925,265.09,107.15,8.195,8.86,0.6304
1.6882,265.15,107.38,8.1865,8.8408,0.6298
1.7034,265.18,107.87,8.205,8.8395,0.6367
1.6962,265.3,108.7,8.213,8.8968,0.6371
1.6959,265.27,108.43,8.205,8.914,0.6364
1.7057,265.32,108.78,8.204,8.9363,0.6387
1.7005,265.34,107.05,8.175,8.9165,0.6366
1.703,265.27,108.36,8.1875,8.9125,0.6384
1.698,265.45,106.97,8.1715,8.8795,0.6355
1.717,265.48,108.3,8.1855,8.9115,0.6382
1.7285,265.51,109.22,8.202,8.949,0.6398
1.7252,265.62,108.59,8.2165,8.993,0.6376
1.7326,265.54,106.61,8.219,9.0355,0.6306
1.7332,265.67,105.51,8.2075,9.018,0.6279
1.7263,265.67,104.88,8.195,8.9615,0.6284
1.7405,265.67,106.71,8.206,8.993,0.6344
1.7316,265.73,104.86,8.2195,8.9645,0.6314
1.7362,265.75,106.69,8.2425,9.005,0.6335
1.7341,266.29,105.33,8.26,9.0528,0.627
1.736,266.12,105.7,8.2455,9.0818,0.6265
1.7338,266.2,106.07,8.223,9.023,0.6283
1.7428,266.32,106.41,8.2285,9.036,0.6349
1.7557,266.22,108.45,8.244,9.0588,0.6387
1.7554,266.44,108.72,8.232,9.0477,0.6392
1.7745,266.46,111.55,8.2195,9.041,0.6356
1.7812,266.33,111.14,8.226,9.0663,0.633
1.7903,266.23,109.89,8.2315,9.0347,0.6323
1.8137,266.3,111.38,8.2155,9.054,0.6358
1.8321,266.21,111.38,8.221,9.0513,0.6344
1.8268,266.23,111.71,8.207,9.086,0.6374
1.8253,266.25,111.44,8.222,9.1128,0.6336
1.8293,266.37,110.27,8.2345,9.176,0.6341
1.8386,266.49,110.06,8.213,9.1797,0.6304
1.8353,266.54,110.53,8.1835,9.147,0.6285
1.8112,266.51,109.85,8.1695,9.145,0.6251
1.796,266.51,109.83,8.123,9.1373,0.6292
1.8097,266.43,110.64,8.1265,9.144,0.6313
1.8057,266.49,111.25,8.1235,9.1875,0.6293
1.8126,266.58,110.25,8.1165,9.2393,0.6257
1.8117,266.58,109.69,8.0855,9.1833,0.6258
1.8075,266.6,110.08,8.083,9.138,0.6231
1.7995,266.57,110.16,8.085,9.121,0.624
1.7919,266.75,107.81,8.081,9.1378,0.6194
1.7941,266.73,108.96,8.065,9.1935,0.6148
1.8158,266.72,110.74,8.057,9.157,0.6192
1.8165,266.78,110.83,8.058,9.147,0.618
1.8304,266.73,111.36,8.0975,9.169,0.6212
1.8549,266.74,113.52,8.1815,9.227,0.6289
1.836,266.8,112.04,8.167,9.191,0.6282
1.8189,266.83,111.38,8.1285,9.1405,0.6265
1.8248,266.83,112.8,8.141,9.0969,0.6243
1.8063,266.86,111.34,8.1045,9.069,0.6199
1.7635,266.96,109.8,8.0665,9.0125,0.6179
1.7425,266.98,109,8.0725,9.001,0.6173
1.7404,266.98,108.75,8.048,9.055,0.6131
1.7676,266.99,107.82,8.059,9.0455,0.6156
1.7422,267.04,107.49,8.0605,9.022,0.6172
1.7437,267.06,110.18,8.123,9.095,0.6235
1.7794,267.11,109.71,8.1465,9.1345,0.6246
1.7823,267.17,109.14,8.147,9.166,0.6236
1.775,267.11,109.55,8.1625,9.166,0.6227
1.7747,267.22,110.36,8.1665,9.1572,0.6246
1.7631,267.32,112.01,8.155,9.1195,0.6254
1.7476,267.32,109.67,8.0925,9.1135,0.6195
1.7158,267.24,108.81,8.103,9.1478,0.6225
1.7078,267.3,108.24,8.099,9.118,0.6222
1.7157,262.24,108.19,8.0925,9.1353,0.6226
1.72,260.28,108.2,8.079,9.1089,0.62
1.7051,258.48,108.21,8.054,9.1069,0.6185
1.6948,258.33,107.5,8.04,9.116,0.6213
1.6923,258.57,108.17,8.071,9.0725,0.6223
1.6742,257.41,107.35,8.0185,8.9695,0.6181
1.6907,257.38,107.62,7.99,9.0025,0.6172
1.6962,258.25,108.35,8.019,8.9995,0.6185
1.6922,258.46,109.26,8.0335,9.0712,0.6193
1.6688,257.45,108.58,8.003,9.0317,0.6165
1.6687,257.95,108.35,7.9605,9.012,0.6137
1.6575,258.52,107.79,7.931,8.98,0.609
1.6593,258.43,106.96,7.9315,8.9725,0.6069
1.6575,257.21,104.01,7.944,9.0515,0.6037
1.6713,256.76,103.15,7.9325,9.0195,0.6077
1.6485,255.35,103.54,7.901,9.0525,0.6045
1.6505,255.35,103.98,7.9115,9.0595,0.6048
1.6608,254,102.88,7.8865,9.035,0.6032
1.6673,253.65,102.77,7.908,9.08,0.6024
1.6727,253.75,101,7.93,9.125,0.5973
1.666,253.55,100.62,7.982,9.1725,0.5978
1.6695,253.54,101.9,7.98,9.24,0.6004
1.6675,251.61,101.44,7.969,9.2412,0.5998
1.6589,250.35,103.13,7.9675,9.2275,0.6087
1.6375,249.07,101.7,7.9555,9.3182,0.6124
1.6187,250.58,102.14,7.951,9.3229,0.6128
1.6157,250.15,103.39,7.9535,9.311,0.6136
1.6137,248.8,103.16,7.9835,9.32,0.6152
1.6221,247.58,104.28,7.995,9.2605,0.6203
1.6212,247.1,103.52,7.9545,9.2511,0.6114
1.6426,246.15,104.74,7.998,9.16,0.615
1.6444,245.74,105.71,7.9225,9.1,0.6124
1.638,246.27,105.43,7.9,9.0719,0.6132
1.644,246.7,105,7.8565,9.1139,0.611
1.654,245.16,106.12,7.894,9.1475,0.6064
1.651,243.88,105.98,7.86,9.151,0.6037
1.663,243.35,106.71,7.9285,9.1495,0.6082
1.6621,243.35,106.71,7.936,9.2192,0.609
1.6587,243.57,107.05,7.899,9.24,0.6091
1.6635,242.18,106.15,7.884,9.1925,0.6035
1.6735,243.63,105.37,7.8865,9.2125,0.6031
1.6612,242.85,105.16,7.9345,9.2326,0.598
1.6423,242.58,105.43,7.9505,9.2416,0.6019
1.6282,240.9,105.16,7.924,9.2032,0.6026
1.6268,242.4,105.74,7.9115,9.222,0.599
1.6578,250.55,105.65,7.928,9.2575,0.5996
1.6724,254.05,106.19,7.918,9.3005,0.6014
1.674,252.15,107.28,7.9455,9.2882,0.6052
1.6842,256.44,107.21,7.9825,9.3164,0.6078
1.6927,256.95,106.16,7.964,9.262,0.6071
1.6821,254.85,106.12,7.9565,9.232,0.6091
1.683,254.35,107.45,7.9775,9.2107,0.6126
1.6811,252.55,106.65,7.9805,9.2152,0.6088
1.6894,248.63,107.8,8.0075,9.2314,0.6127
1.6931,249.25,107.7,8.011,9.2565,0.615
1.7111,249.2,108.36,8.017,9.2631,0.6118
1.7103,246.68,107.62,7.9865,9.2907,0.6097
1.7152,247.27,108.07,8.002,9.3118,0.6139
1.7363,246.59,108.9,8.013,9.3472,0.6157
1.724,246.35,108.58,8.0125,9.3009,0.6146
1.7323,247.27,108.65,7.984,9.2825,0.6141
1.7314,247.08,109.45,7.98,9.256,0.6136
1.7282,247.75,109.3,7.985,9.2785,0.6143
1.7188,248.14,109.85,8.012,9.3092,0.6156
1.6951,248.72,109.02,7.996,9.229,0.6145
1.702,248,109.05,7.9685,9.1721,0.6164
1.7055,247.06,109.08,7.9775,9.1637,0.619
1.702,247.39,108.74,7.969,9.1885,0.6195
1.701,246.95,107.94,7.958,9.1509,0.6187
1.7135,246.5,109.16,7.985,9.1734,0.6234
1.7332,246.92,109.31,8.015,9.1795,0.6269
1.7329,246.38,109.33,8.0625,9.2049,0.6312
1.738,246.6,110.04,8.068,9.211,0.6312
1.7291,253,109.62,8.1235,9.2593,0.6344
1.7358,254.25,109.66,8.1035,9.2581,0.6328
1.712,255.73,110.34,8.1325,9.335,0.6327
1.7145,255.9,110.18,8.1135,9.4235,0.633
1.711,256.24,109.4,8.1215,9.431,0.6304
1.7114,256.47,110.39,8.1105,9.4707,0.6326
1.7118,251.52,109.65,8.112,9.424,0.6306
1.718,251.51,109.56,8.106,9.3873,0.6317
1.7231,252.95,109.18,8.083,9.3829,0.6307
1.7162,254.08,108.75,8.068,9.366,0.6281
1.7202,252.93,108.94,8.068,9.425,0.6269
1.7139,252.4,108.95,8.0485,9.4669,0.6257
1.7305,253.75,108.65,8.0675,9.5345,0.6285
1.7225,251.7,107.92,8.0305,9.5099,0.6235
1.717,252.16,107.1,7.963,9.5517,0.6197
1.708,251.67,106.93,7.9305,9.5165,0.6148
1.7002,252.05,107.36,7.949,9.452,0.6109
1.7232,253.11,108.32,7.9775,9.495,0.6161
1.7634,252.99,109.05,8.0025,9.5406,0.6172
1.7453,251.78,109.3,7.947,9.4974,0.6156
1.7568,256,108.15,7.987,9.5769,0.6176
1.7607,255.97,107.88,7.999,9.5832,0.6169
1.7844,255.3,108.33,8.028,9.5911,0.6247
1.848,257.74,108.61,8.0655,9.7095,0.6304
1.8652,257.33,108.5,7.9935,9.7209,0.6304
1.8837,258.15,108.84,7.967,9.7215,0.6323
1.8748,258.27,108.15,7.9315,9.7783,0.632
1.9,260.65,107.18,7.929,9.9631,0.6301
1.8626,260.95,107.47,7.979,9.9185,0.6266
1.861,259.83,107.53,8.045,9.8338,0.6275
1.8575,258.28,108.62,8.051,9.92,0.6255
1.895,257.55,109.75,8.085,9.8752,0.6244
1.842,257.35,109.02,8.11,9.7321,0.622
1.8536,257.27,109.2,8.0855,9.7331,0.6174
1.8622,257.98,110.73,8.089,9.7785,0.6208
1.8463,257.27,111.54,8.0835,9.7392,0.6245
1.8306,257.32,109.95,8.0605,9.6897,0.6192
1.8093,256.98,110.31,8.07,9.7341,0.6204
1.817,259.04,110.35,8.06,9.7397,0.6251
1.8247,256.78,110.61,8.0235,9.6785,0.6257
1.8189,255.95,109.63,7.996,9.6509,0.6286
1.8133,254.92,109.55,7.972,9.5635,0.6252
1.809,255.63,109.65,7.9555,9.521,0.6248
1.7702,255.27,109.8,7.9735,9.5033,0.6273
1.7641,254.06,110.05,7.9705,9.4865,0.6262
1.7628,254.25,109.75,7.9495,9.4515,0.6241
1.775,254.44,109.23,7.9575,9.4936,0.6249
1.7793,254.25,109.1,7.969,9.4715,0.6249
1.7672,254.19,109.18,7.98,9.5069,0.627
1.747,251.45,109.03,7.949,9.5085,0.6258
1.755,252.22,109.48,7.945,9.4942,0.6257
1.7563,252.56,109.56,7.949,9.4482,0.624
1.7767,252.98,109.25,7.9525,9.4315,0.6234
1.7833,254,109.94,7.968,9.4742,0.621
1.7816,256.34,110.42,7.9745,9.5832,0.6232
1.7942,255.24,110.37,7.9985,9.6122,0.6213
1.7781,255.13,110.72,7.985,9.585,0.6206
1.7864,254.9,110.05,7.969,9.5336,0.6183
1.7665,253.44,109.3,7.9515,9.5117,0.6162
1.747,252.15,108.46,7.9265,9.48,0.6152
1.7485,251.84,108.98,7.9585,9.474,0.6155
1.7434,250.53,108.25,7.892,9.38,0.6128
1.7347,251,107.47,7.8935,9.4244,0.6144
1.7166,250.62,107.66,7.897,9.4107,0.6136
1.704,249.5,107.14,7.884,9.3595,0.6125
1.6855,249.15,107.2,7.844,9.334,0.6126
1.6989,249.74,107.91,7.9,9.3345,0.6149
1.6893,252,108.46,7.92,9.377,0.6175
1.6868,250,108.48,7.922,9.3665,0.6186
1.6941,249.88,108.47,7.9125,9.366,0.6227
1.6982,250.15,108.02,7.894,9.4082,0.6194
1.7006,251.5,108.66,7.883,9.3868,0.6211
1.701,251.8,109.1,7.929,9.3611,0.6219
1.7007,251.55,109.33,7.9495,9.3641,0.622
1.683,251.65,108.99,7.941,9.3412,0.6236
1.695,250.84,108.94,7.9415,9.4084,0.6235
1.7125,250.7,109.23,7.948,9.468,0.6236
1.7073,251.78,110.06,7.951,9.491,0.6238
1.7203,250.55,110.21,8.0015,9.5736,0.6275
1.7227,249.43,110.5,7.9665,9.4739,0.6259
1.7323,248.53,110.84,8,9.4457,0.627
1.7176,248.9,110.72,7.976,9.3619,0.6256
1.7245,249.6,111.5,7.977,9.3573,0.6241
1.7209,250.19,111.82,7.9895,9.3443,0.6198
1.7325,247.85,112.3,8.002,9.3669,0.621
1.7235,247.14,112.6,8.0065,9.3833,0.6207
1.7241,246.75,113.29,8.0235,9.3588,0.6209
1.7398,246.38,115.05,8.028,9.4642,0.6217
1.7458,246.11,115.68,8.037,9.4817,0.6213
1.7452,245.29,115.26,7.9935,9.4648,0.6189
1.7465,245.3,114.68,7.9805,9.5029,0.6197
1.7677,246.63,115.05,7.984,9.512,0.6203
1.7649,246.22,115.88,7.987,9.5065,0.6176
1.7319,245.71,114.23,7.9755,9.505,0.6127
1.7384,245.78,115.9,7.961,9.4413,0.609
1.728,245.18,115.33,7.9515,9.3012,0.6085
1.7603,244.58,119.53,8.0115,9.2825,0.6262
1.752,245.32,119.02,8.0105,9.2337,0.6254
1.728,244.15,117.18,7.9865,9.2353,0.6217
1.718,243.55,116.72,7.975,9.211,0.6194
1.711,243.75,118.22,7.9585,9.2353,0.6182
1.707,244.19,118.05,7.9475,9.246,0.6188
1.6968,244.33,117.96,7.951,9.1795,0.6172
1.7119,244.95,117.82,7.952,9.1505,0.6179
1.7229,243.88,117.64,7.944,9.2021,0.6157
1.7196,243.84,116.97,7.9495,9.2287,0.6165
1.7136,243.95,115.83,7.912,9.2141,0.6135
1.7137,243.75,116.47,7.901,9.2802,0.6144
1.7129,243.3,117.08,7.9105,9.2458,0.6141
