"Date","dowjones"
"1983/11/30",1276.02
"1983/12/07",1273.78
"1983/12/14",1246.65
"1983/12/21",1254.98
"1983/12/28",1263.21
"1984/01/04",1269.05
"1984/01/11",1277.32
"1984/01/18",1269.37
"1984/01/25",1231.89
"1984/02/01",1212.31
"1984/02/08",1156.3
"1984/02/15",1158.71
"1984/02/22",1134.21
"1984/02/29",1154.63
"1984/03/07",1143.63
"1984/03/14",1166.04
"1984/03/21",1170.85
"1984/03/28",1174.62
"1984/04/04",1148.56
"1984/04/11",1130.97
"1984/04/18",1156.51
"1984/04/25",1163.53
"1984/05/02",1186.56
"1984/05/09",1165.52
"1984/05/16",1153.16
"1984/05/23",1113.8
"1984/05/30",1102.59
"1984/06/06",1133.84
"1984/06/13",1110.53
"1984/06/20",1131.63
"1984/06/27",1116.72
"1984/07/03",1134.28
"1984/07/11",1108.55
"1984/07/18",1111.64
"1984/07/25",1096.95
"1984/08/01",1134.61
"1984/08/08",1196.11
"1984/08/15",1198.98
"1984/08/22",1231.78
"1984/08/29",1226.92
"1984/09/05",1209.03
"1984/09/12",1200.31
"1984/09/19",1213.01
"1984/09/26",1212.12
"1984/10/03",1182.86
"1984/10/10",1177.23
"1984/10/17",1195.89
"1984/10/24",1216.43
"1984/10/31",1207.38
"1984/11/07",1233.22
"1984/11/14",1206.93
"1984/11/21",1201.52
"1984/11/28",1205.39
"1984/12/05",1171.6
"1984/12/12",1175.13
"1984/12/19",1208.04
"1984/12/26",1208.92
"1985/01/02",1198.87
"1985/01/09",1202.74
"1985/01/16",1230.68
"1985/01/23",1274.73
"1985/01/30",1287.88
"1985/02/06",1280.59
"1985/02/13",1297.92
"1985/02/20",1283.13
"1985/02/27",1281.03
"1985/03/06",1280.37
"1985/03/13",1261.7
"1985/03/20",1265.24
"1985/03/27",1264.91
"1985/04/03",1258.06
"1985/04/10",1259.94
"1985/04/17",1272.31
"1985/04/24",1278.49
"1985/05/01",1242.05
"1985/05/08",1249.78
"1985/05/15",1273.52
"1985/05/22",1303.76
"1985/05/29",1302.98
"1985/06/05",1320.56
"1985/06/12",1306.34
"1985/06/19",1297.38
"1985/06/26",1323.81
"1985/07/03",1326.39
"1985/07/10",1332.89
"1985/07/17",1357.97
"1985/07/24",1348.9
"1985/07/31",1347.45
"1985/08/07",1325.04
"1985/08/14",1316.98
"1985/08/21",1329.53
"1985/08/28",1331.09
"1985/09/04",1326.72
"1985/09/11",1319.44
"1985/09/18",1300.4
"1985/09/25",1312.05
"1985/10/02",1333.67
"1985/10/09",1326.72
"1985/10/16",1368.5
"1985/10/23",1367.16
"1985/10/30",1375.57
"1985/11/06",1403.44
"1985/11/13",1427.75
"1985/11/20",1439.22
"1985/11/27",1475.69
"1985/12/04",1484.4
"1985/12/11",1511.7
"1985/12/18",1542.43
"1985/12/24",1519.15
"1985/12/31",1546.67
"1986/01/08",1526.61
"1986/01/15",1527.29
"1986/01/22",1502.29
"1986/01/29",1558.94
"1986/02/05",1593.12
"1986/02/12",1629.93
"1986/02/19",1658.26
"1986/02/26",1696.9
"1986/03/05",1686.66
"1986/03/12",1745.45
"1986/03/19",1787.95
"1986/03/26",1810.7
"1986/04/02",1795.26
"1986/04/09",1778.62
"1986/04/16",1847.97
"1986/04/23",1829.61
"1986/04/30",1783.98
"1986/05/07",1775.3
"1986/05/14",1808.28
"1986/05/21",1775.17
"1986/05/28",1878.28
"1986/06/04",1863.29
"1986/06/11",1846.07
"1986/06/18",1868.94
"1986/06/25",1885.05
"1986/07/02",1909.03
"1986/07/09",1826.07
"1986/07/16",1774.18
"1986/07/23",1798.37
"1986/07/30",1779.39
"1986/08/06",1779.53
"1986/08/13",1844.49
"1986/08/20",1881.33
"1986/08/27",1904.53
"1986/09/03",1881.33
"1986/09/10",1879.5
"1986/09/17",1769.4
"1986/09/24",1803.29
"1986/10/01",1782.9
"1986/10/08",1803.85
"1986/10/15",1831.69
"1986/10/22",1808.35
"1986/10/29",1851.8
"1986/11/05",1899.04
"1986/11/12",1893.7
"1986/11/19",1826.63
"1986/11/26",1916.76
"1986/12/03",1947.27
"1986/12/10",1932.93
"1986/12/17",1918.31
"1986/12/24",1926.88
"1986/12/31",1895.95
"1987/01/07",1993.95
"1987/01/14",2035.01
"1987/01/21",2094.07
"1987/01/28",2163.39
"1987/02/04",2191.23
"1987/02/11",2171.96
"1987/02/18",2237.63
"1987/02/25",2226.24
"1987/03/04",2257.45
"1987/03/11",2268.98
"1987/03/18",2286.93
"1987/03/25",2363.49
"1987/04/01",2316.05
"1987/04/08",2372.16
"1987/04/15",2282.95
"1987/04/22",2285.94
"1987/04/29",2254.26
"1987/05/06",2342.19
"1987/05/13",2329.68
"1987/05/20",2215.87
"1987/05/27",2295.81
"1987/06/03",2320.69
"1987/06/10",2353.61
"1987/06/17",2407.35
"1987/06/24",2428.41
"1987/07/01",2409.76
"1987/07/08",2463.97
"1987/07/15",2483.74
"1987/07/22",2470.18
"1987/07/29",2539.54
"1987/08/05",2566.65
"1987/08/12",2669.32
"1987/08/19",2665.82
"1987/08/26",2701.85
"1987/09/02",2602.04
"1987/09/09",2549.27
"1987/09/16",2530.19
"1987/09/23",2585.67
"1987/09/30",2596.28
"1987/10/07",2551.08
"1987/10/14",2412.7
"1987/10/21",2027.85
"1987/10/28",1846.82
"1987/11/04",1945.29
"1987/11/11",1899.2
"1987/11/18",1939.16
"1987/11/25",1946.95
"1987/12/02",1848.97
"1987/12/09",1902.52
"1987/12/16",1974.47
"1987/12/23",2005.64
"1987/12/30",1950.1
"1988/01/06",2037.8
"1988/01/13",1924.73
"1988/01/20",1879.14
"1988/01/27",1911.14
"1988/02/03",1924.57
"1988/02/10",1962.04
"1988/02/17",2000.99
"1988/02/24",2039.95
"1988/03/02",2071.29
"1988/03/09",2074.27
"1988/03/16",2064.32
"1988/03/23",2067.64
"1988/03/30",1978.12
"1988/04/06",2061.67
"1988/04/13",2107.1
"1988/04/20",1985.41
"1988/04/27",2047.91
"1988/05/04",2036.31
"1988/05/11",1965.85
"1988/05/18",1951.09
"1988/05/25",1961.37
"1988/06/01",2064.01
"1988/06/08",2102.95
"1988/06/15",2131.4
"1988/06/22",2152.2
"1988/06/29",2121.98
"1988/07/06",2130.16
"1988/07/13",2104.37
"1988/07/20",2110.6
"1988/07/27",2053.7
"1988/08/03",2134.07
"1988/08/10",2034.14
"1988/08/17",2025.96
"1988/08/24",2026.67
"1988/08/31",2031.65
"1988/09/07",2065.79
"1988/09/14",2100.64
"1988/09/21",2090.5
"1988/09/28",2085.53
"1988/10/05",2106.51
"1988/10/12",2126.24
"1988/10/19",2137.27
"1988/10/26",2165.18
"1988/11/02",2156.83
"1988/11/09",2118.24
"1988/11/16",2038.58
"1988/11/23",2092.28
"1988/11/30",2114.51
"1988/12/07",2153.63
"1988/12/14",2134.25
"1988/12/21",2164.64
"1988/12/28",2166.43
"1989/01/04",2177.68
"1989/01/11",2206.43
"1989/01/18",2238.75
"1989/01/25",2265.89
"1989/02/01",2338.21
"1989/02/08",2343.21
"1989/02/15",2303.93
"1989/02/22",2283.93
"1989/03/01",2243.04
"1989/03/08",2295.54
"1989/03/15",2320.54
"1989/03/22",2263.21
"1989/03/29",2281.52
"1989/04/05",2304.8
"1989/04/12",2319.65
"1989/04/19",2386.91
"1989/04/26",2389.11
"1989/05/03",2393.7
"1989/05/10",2374.45
"1989/05/17",2462.43
"1989/05/24",2483.87
"1989/05/31",2480.15
"1989/06/07",2512.32
"1989/06/14",2503.36
"1989/06/21",2464.91
"1989/06/28",2504.74
"1989/07/05",2456.56
"1989/07/12",2532.63
"1989/07/19",2584.41
"1989/07/26",2613.05
"1989/08/02",2657.44
"1989/08/09",2686.08
"1989/08/16",2693.29
"1989/08/23",2678.11
"1989/08/30",2728.15
"1989/09/06",2719.79
"1989/09/13",2679.52
"1989/09/20",2683.89
"1989/09/27",2673.06
"1989/10/04",2771.09
"1989/10/11",2773.36
"1989/10/18",2643.65
"1989/10/25",2653.28
"1989/11/01",2645.9
"1989/11/08",2623.36
"1989/11/15",2632.58
"1989/11/22",2656.78
"1989/11/29",2688.78
"1989/12/06",2736.77
"1989/12/13",2761.09
"1989/12/20",2687.93
"1989/12/27",2724.4
"1990/01/03",2809.73
"1990/01/10",2750.64
"1990/01/17",2659.13
"1990/01/24",2604.5
"1990/01/31",2590.54
"1990/02/07",2640.09
"1990/02/14",2624.32
"1990/02/21",2583.56
"1990/02/28",2627.25
"1990/03/07",2669.59
"1990/03/14",2687.84
"1990/03/21",2727.93
"1990/03/28",2743.69
"1990/04/04",2719.37
"1990/04/11",2729.73
"1990/04/18",2732.88
"1990/04/25",2666.44
"1990/05/02",2689.64
"1990/05/09",2732.88
"1990/05/16",2819.68
"1990/05/23",2856.26
"1990/05/30",2878.56
"1990/06/06",2911.65
"1990/06/13",2929.7
"1990/06/20",2895.3
"1990/06/27",2862.13
"1990/07/03",2911.63
"1990/07/11",2932.67
"1990/07/18",2981.68
"1990/07/25",2930.94
"1990/08/01",2899.26
"1990/08/08",2734.9
"1990/08/15",2748.27
"1990/08/22",2560.15
"1990/08/29",2632.43
"1990/09/05",2628.22
"1990/09/12",2625.74
"1990/09/19",2557.43
"1990/09/26",2459.65
"1990/10/03",2489.36
"1990/10/10",2407.92
"1990/10/17",2387.87
"1990/10/24",2504.21
"1990/10/31",2442.33
"1990/11/07",2440.84
"1990/11/14",2559.65
"1990/11/21",2539.36
"1990/11/28",2535.15
"1990/12/05",2610.4
"1990/12/12",2622.28
"1990/12/19",2626.73
"1990/12/26",2637.13
"1991/01/02",2610.64
"1991/01/09",2470.3
"1991/01/16",2508.91
"1991/01/23",2619.06
"1991/01/30",2713.12
"1991/02/06",2830.94
"1991/02/13",2909.16
"1991/02/20",2899.01
"1991/02/27",2889.11
"1991/03/06",2973.27
"1991/03/13",2955.2
"1991/03/20",2872.03
"1991/03/27",2917.57
"1991/04/03",2926.73
"1991/04/10",2874.5
"1991/04/17",3004.46
"1991/04/24",2949.5
"1991/05/01",2930.2
"1991/05/08",2930.9
"1991/05/15",2865.38
"1991/05/22",2910.33
"1991/05/29",2969.59
"1991/06/05",3005.37
"1991/06/12",2961.99
"1991/06/19",2955.5
"1991/06/26",2913.01
"1991/07/03",2934.7
"1991/07/10",2944.77
"1991/07/17",2978.76
"1991/07/24",2966.23
"1991/07/31",3024.82
"1991/08/07",3026.61
"1991/08/14",3005.37
"1991/08/21",3001.79
"1991/08/28",3055.23
"1991/09/04",3008.5
"1991/09/11",2987.03
"1991/09/18",3017.89
"1991/09/25",3021.02
"1991/10/02",3012.52
"1991/10/09",2946.33
"1991/10/16",3061.72
"1991/10/23",3040.92
"1991/10/30",3071.78
"1991/11/06",3038.46
"1991/11/13",3065.3
"1991/11/20",2930.01
"1991/11/27",2900.04
"1991/12/04",2911.67
"1991/12/11",2865.38
"1991/12/18",2908.09
"1991/12/24",3050.98
"1991/12/31",3168.83
"1992/01/08",3203.935
"1992/01/15",3258.497
"1992/01/22",3255.813
"1992/01/29",3224.955
"1992/02/05",3257.602
"1992/02/12",3276.833
"1992/02/19",3230.321
"1992/02/26",3283.318
"1992/03/04",3268.559
"1992/03/11",3208.631
"1992/03/18",3254.248
"1992/03/25",3259.391
"1992/04/01",3249.329
"1992/04/08",3181.35
"1992/04/15",3353.756
"1992/04/22",3338.774
"1992/04/29",3333.184
"1992/05/06",3369.409
"1992/05/13",3394.688
"1992/05/20",3393.843
"1992/05/27",3371.888
"1992/06/03",3408.454
"1992/06/10",3343.217
"1992/06/17",3287.758
"1992/06/24",3290.7
"1992/07/01",3354.096
"1992/07/08",3293.277
"1992/07/15",3345.418
"1992/07/22",3277.607
"1992/07/29",3379.188
"1992/08/05",3365.14
"1992/08/12",3320.833
"1992/08/19",3307.055
"1992/08/26",3246.809
"1992/09/02",3290.305
"1992/09/09",3271.394
"1992/09/16",3319.212
"1992/09/23",3278.688
"1992/09/30",3271.664
"1992/10/07",3152.252
"1992/10/14",3195.478
"1992/10/21",3187.103
"1992/10/28",3251.402
"1992/11/04",3223.035
"1992/11/11",3240.325
"1992/11/18",3207.365
"1992/11/25",3266.261
"1992/12/02",3286.253
"1992/12/09",3323.805
"1992/12/16",3255.184
"1992/12/23",3313.539
"1992/12/30",3321.104
"1993/01/06",3305.164492
"1993/01/13",3263.559512
"1993/01/20",3241.946535
"1993/01/27",3291.386219
"1993/02/03",3373.785694
"1993/02/10",3412.41889
"1993/02/17",3312.18871
"1993/02/24",3356.495312
"1993/03/03",3404.043861
"1993/03/10",3478.33847
"1993/03/17",3426.737487
"1993/03/24",3445.37868
"1993/03/31",3435.112516
"1993/04/07",3397.019644
"1993/04/14",3455.644844
"1993/04/21",3439.435111
"1993/04/28",3413.499539
"1993/05/05",3449.095477
"1993/05/12",3482.310424
"1993/05/19",3500.025063
"1993/05/26",3540.159791
"1993/06/02",3553.44577
"1993/06/09",3511.927086
"1993/06/16",3511.650294
"1993/06/23",3466.810116
"1993/06/30",3516.078954
"1993/07/07",3475.667435
"1993/07/14",3542.546734
"1993/07/21",3555.401285
"1993/07/28",3553.445158
"1993/08/04",3552.047924
"1993/08/11",3583.345962
"1993/08/18",3604.863364
"1993/08/25",3652.089868
"1993/09/01",3645.103699
"1993/09/08",3588.934898
"1993/09/15",3633.646381
"1993/09/22",3547.017882
"1993/09/29",3566.299709
"1993/10/06",3598.994982
"1993/10/13",3603.186683
"1993/10/20",3645.103699
"1993/10/27",3664.664973
"1993/11/03",3661.870505
"1993/11/10",3663.547186
"1993/11/17",3704.346415
"1993/11/24",3687.579608
"1993/12/01",3697.080799
"1993/12/08",3734.526666
"1993/12/15",3716.921519
"1993/12/22",3762.191897
"1993/12/29",3794.328275
"1994/01/05",3798.815146
"1994/01/12",3848.625523
"1994/01/19",3884.365172
"1994/01/26",3908.003995
"1994/02/02",3975.54349
"1994/02/09",3931.924233
"1994/02/16",3937.27111
"1994/02/23",3891.681951
"1994/03/02",3831.74065
"1994/03/09",3853.409571
"1994/03/16",3848.150514
"1994/03/23",3869.455552
"1994/03/30",3626.750862
"1994/04/06",3679.725551
"1994/04/13",3661.465491
"1994/04/20",3598.706009
"1994/04/26",3699.537593
"1994/05/04",3697.752964
"1994/05/11",3629.044716
"1994/05/18",3732.888572
"1994/05/25",3755.29634
"1994/06/01",3760.83029
"1994/06/08",3749.445955
"1994/06/15",3790.408023
"1994/06/22",3724.771879
"1994/06/29",3667.048124
"1994/07/06",3674.494236
"1994/07/13",3704.278683
"1994/07/20",3727.264506
"1994/07/27",3720.465882
"1994/08/03",3792.660791
"1994/08/10",3766.761272
"1994/08/17",3776.473591
"1994/08/24",3846.726036
"1994/08/31",3913.417297
"1994/09/07",3886.248205
"1994/09/14",3895.332155
"1994/09/21",3851.59462
"1994/09/28",3878.173583
