_date_	hicp	unemp
2005-04-01	2.3	5.15
2005-05-01	2.0	5.30
2005-06-01	2.0	5.41
2005-07-01	2.1	5.36
2005-08-01	1.9	5.12
2005-09-01	2.6	5.08
2005-10-01	2.0	5.27
2005-11-01	1.7	5.20
2005-12-01	1.6	5.15
2006-01-01	1.5	5.19
2006-02-01	1.5	5.28
2006-03-01	1.3	5.20
2006-04-01	2.1	4.86
2006-05-01	2.1	4.70
2006-06-01	1.9	4.72
2006-07-01	2.0	4.55
2006-08-01	2.1	4.38
2006-09-01	1.3	4.48
2006-10-01	1.3	4.42
2006-11-01	1.6	4.44
2006-12-01	1.6	4.37
2007-01-01	1.7	4.37
2007-02-01	1.7	4.36
2007-03-01	1.9	4.44
2007-04-01	1.8	4.61
2007-05-01	1.9	4.62
2007-06-01	1.9	4.49
2007-07-01	2.0	4.65
2007-08-01	1.7	4.72
2007-09-01	2.1	4.39
2007-10-01	2.9	4.25
2007-11-01	3.2	4.14
2007-12-01	3.5	4.06
2008-01-01	3.1	4.11
2008-02-01	3.1	3.99
2008-03-01	3.5	3.66
2008-04-01	3.4	3.51
2008-05-01	3.7	3.54
2008-06-01	4.0	3.49
2008-07-01	3.8	3.60
2008-08-01	3.6	3.77
2008-09-01	3.7	3.74
2008-10-01	3.0	3.74
2008-11-01	2.3	4.13
2008-12-01	1.5	4.43
2009-01-01	1.2	4.30
2009-02-01	1.4	4.33
2009-03-01	0.6	4.62
2009-04-01	0.5	4.75
2009-05-01	0.1	4.74
2009-06-01	-0.3	4.99
2009-07-01	-0.4	5.02
2009-08-01	0.2	5.04
2009-09-01	0.0	5.17
2009-10-01	0.1	5.12
2009-11-01	0.6	4.78
2009-12-01	1.1	4.56
2010-01-01	1.2	4.39
2010-02-01	0.9	4.43
2010-03-01	1.8	4.55
2010-04-01	1.8	4.56
2010-05-01	1.7	4.48
2010-06-01	1.8	4.49
2010-07-01	1.7	4.53
2010-08-01	1.6	4.50
2010-09-01	1.7	4.34
2010-10-01	2.0	4.16
2010-11-01	1.8	4.14
2010-12-01	2.2	4.18
2011-01-01	2.5	4.38
2011-02-01	3.1	4.38
2011-03-01	3.3	4.20
2011-04-01	3.7	4.16
2011-05-01	3.7	4.23
2011-06-01	3.7	3.99
2011-07-01	3.8	3.81
2011-08-01	3.7	3.79
2011-09-01	3.9	4.03
2011-10-01	3.8	4.28
2011-11-01	3.9	4.36
2011-12-01	3.4	4.13
2012-01-01	2.9	4.07
2012-02-01	2.6	4.09
2012-03-01	2.6	4.04
